nohup: ignoring input
[2619, 456, 102, 3037, 1126, 1003, 914, 571, 3016, 419, 2771, 3033, 2233, 356, 2418, 1728, 130, 122, 383, 895]
Epoch1  loss:4.0137578487396235  accuracy:6.160915696502686
Epoch51  loss:3.4243235111236574  accuracy:14.597939227614704
Epoch52  loss:3.4155964255332942  accuracy:13.618667656332699
Epoch53  loss:3.386833071708679  accuracy:14.987235100573248
Epoch54  loss:3.369374072551727  accuracy:16.544439037022748
Epoch55  loss:3.3624668836593625  accuracy:16.184886734274993
Epoch56  loss:3.3283848643302916  accuracy:16.37505596759086
Epoch57  loss:3.3245124220848083  accuracy:18.088553957555575
Epoch58  loss:3.2919689178466793  accuracy:20.16940576601217
Epoch59  loss:3.275903356075287  accuracy:19.654107946014157
Epoch60  loss:3.2425729155540473  accuracy:18.7524461328208
Epoch61  loss:3.2275218248367312  accuracy:21.349146726958764
Epoch62  loss:3.196148264408111  accuracy:22.2450132898633
Epoch63  loss:3.172547161579132  accuracy:22.453407911630627
Epoch64  loss:3.1410134315490725  accuracy:26.08128755930848
Epoch65  loss:3.118340408802033  accuracy:24.715725336338718
Epoch66  loss:3.08901778459549  accuracy:26.37385900976213
Epoch67  loss:3.062493395805358  accuracy:27.373793001717708
Epoch68  loss:3.028546571731568  accuracy:27.06097466479035
Epoch69  loss:3.0047988414764406  accuracy:28.299444282075722
Epoch70  loss:2.979779291152954  accuracy:28.94369397186127
Epoch71  loss:2.9439983606338505  accuracy:32.787727759149824
Epoch72  loss:2.925002086162567  accuracy:29.23576700772501
Epoch73  loss:2.880103123188018  accuracy:32.71553468605269
Epoch74  loss:2.864424884319306  accuracy:34.21662476908839
Epoch75  loss:2.8288672924041753  accuracy:37.66524133357287
Epoch76  loss:2.795442831516266  accuracy:36.41754065701552
Epoch77  loss:2.763314819335937  accuracy:37.095177651582055
Epoch78  loss:2.743520712852478  accuracy:38.19666675659639
Epoch79  loss:2.716218185424805  accuracy:39.120834251074676
Epoch80  loss:2.6805713772773743  accuracy:40.00499198215371
Epoch81  loss:2.6713426709175114  accuracy:41.57747175821762
Epoch82  loss:2.6311358690261843  accuracy:42.399061814612914
Epoch83  loss:2.5978925704956053  accuracy:42.893454798290385
Epoch84  loss:2.5795760869979856  accuracy:44.743544969151976
Epoch85  loss:2.561338436603546  accuracy:44.79485156524941
Epoch86  loss:2.536396133899689  accuracy:44.13847989142712
Epoch87  loss:2.490346044301987  accuracy:46.51744411620267
Epoch88  loss:2.4759340941905976  accuracy:47.98790569815054
Epoch89  loss:2.4605783462524413  accuracy:46.79885543649802
Epoch90  loss:2.423792546987533  accuracy:47.69565260502894
Epoch91  loss:2.399657618999482  accuracy:48.393819667110414
Epoch92  loss:2.3638858914375307  accuracy:49.28971590843743
Epoch93  loss:2.3466092348098755  accuracy:48.449340023057474
Epoch94  loss:2.324088418483734  accuracy:50.32029207557663
Epoch95  loss:2.2998861253261564  accuracy:49.986652887959444
Epoch96  loss:2.2654065251350404  accuracy:51.57602780349632
Epoch97  loss:2.2489269256591795  accuracy:52.03247077493489
Epoch98  loss:2.2339515566825865  accuracy:52.200660746565624
Epoch99  loss:2.2068917453289028  accuracy:52.375362632300295
Epoch100  loss:2.1738231897354128  accuracy:53.4389181036811
Epoch101  loss:2.1627087473869326  accuracy:53.558518631595085
Epoch102  loss:2.131470537185669  accuracy:54.26893730007785
Epoch103  loss:2.1088260769844056  accuracy:54.838439306939755
Epoch104  loss:2.0973663687705995  accuracy:54.376672867543355
Epoch105  loss:2.0717932939529415  accuracy:56.5681976119343
Epoch106  loss:2.0569129168987277  accuracy:55.43212238051884
Epoch107  loss:2.0237655937671657  accuracy:56.75184930707123
Epoch108  loss:2.008717888593674  accuracy:57.47929552865786
Epoch109  loss:1.993192970752716  accuracy:57.51563367448926
Epoch110  loss:1.986072319746017  accuracy:57.38607560942559
Epoch111  loss:1.9568620860576629  accuracy:56.87727371022909
Epoch112  loss:1.9497226238250736  accuracy:58.337969042760186
Epoch113  loss:1.9194627642631534  accuracy:59.22861544553409
Epoch114  loss:1.9045391440391544  accuracy:58.37215672956971
Epoch115  loss:1.8902454853057864  accuracy:58.041597063790476
Epoch116  loss:1.8664456009864805  accuracy:59.79418094971562
Epoch117  loss:1.8612787663936619  accuracy:58.633034944553266
Epoch118  loss:1.8460943520069124  accuracy:59.48777662793013
Epoch119  loss:1.822280764579773  accuracy:61.01269081016622
Epoch120  loss:1.8166254818439485  accuracy:59.769545687707854
Epoch121  loss:1.795527881383896  accuracy:60.432004803394236
Epoch122  loss:1.7743778109550474  accuracy:61.09047577075151
Epoch123  loss:1.7732036650180816  accuracy:60.6375333437565
Epoch124  loss:1.7547370553016663  accuracy:62.32630470435119
Epoch125  loss:1.7484896540641783  accuracy:61.239477483874985
Epoch126  loss:1.7257457554340359  accuracy:60.754256270034176
Epoch127  loss:1.7348350942134858  accuracy:61.657433902380824
Epoch128  loss:1.7015964925289149  accuracy:61.5062449728311
Epoch129  loss:1.6963000297546384  accuracy:62.533821097357105
Epoch130  loss:1.681528264284134  accuracy:62.743257380366025
Epoch131  loss:1.660996240377426  accuracy:63.11948771606317
Epoch132  loss:1.664853274822235  accuracy:62.976229466972065
Epoch133  loss:1.63457538485527  accuracy:62.901641187561175
Epoch134  loss:1.620329111814499  accuracy:63.58636391648732
Epoch135  loss:1.6238816022872922  accuracy:63.23021537945386
Epoch136  loss:1.613105869293213  accuracy:63.96477374459319
Epoch137  loss:1.607819080352783  accuracy:63.54397929374521
Epoch138  loss:1.5824933469295503  accuracy:64.1829021524374
Epoch139  loss:1.5819412112236027  accuracy:64.25743526925638
Epoch140  loss:1.5665328562259673  accuracy:64.08817477632043
